X,TD_mean,TD_std,TD+NOV_mean,TD+NOV_std,TD+UNC_mean,TD+UNC_std,FULL_mean,FULL_std,MULT_mean,MULT_std,GATE_mean,GATE_std
1,0.0,0.0,0.012560856528580189,0.0017505803843960166,0.0,0.0,0.012560856528580189,0.0017505803843960166,0.012560856528580189,0.0017505803843960166,0.012560856528580189,0.0017505803843960166
2,0.0,0.0,0.000989939784631133,0.000307406357023865,0.0,0.0,0.000989939784631133,0.000307406357023865,0.000989939784631133,0.000307406357023865,0.000989939784631133,0.000307406357023865
3,0.0,0.0,0.00022474059369415045,8.299619366880506e-05,0.0,0.0,0.00022474059369415045,8.299619366880506e-05,0.00022474059369415045,8.299619366880506e-05,0.00022474059369415045,8.299619366880506e-05
4,0.0,0.0,0.00013693075743503869,4.13021698477678e-05,0.0,0.0,0.00013693075743503869,4.13021698477678e-05,0.00013668337487615645,4.11861328757368e-05,0.00013693075743503869,4.13021698477678e-05
5,0.0,0.0,8.47769042593427e-05,4.354814882390201e-05,0.0,0.0,8.47769042593427e-05,4.354814882390201e-05,8.667626389069483e-05,4.71029597974848e-05,8.47769042593427e-05,4.354814882390201e-05
6,0.0,0.0,5.2972281991969794e-05,3.6231962440069765e-05,0.0,0.0,5.2972281991969794e-05,3.6231962440069765e-05,5.069253529654816e-05,3.728049705387093e-05,5.2972281991969794e-05,3.6231962440069765e-05
7,0.0,0.0,2.672321534191724e-05,1.4080791515880264e-05,0.0,0.0,2.6653975510271266e-05,1.4120298146735877e-05,2.6754714781418443e-05,1.422047171217855e-05,2.665377178345807e-05,1.4120533705863636e-05
8,0.0,0.0,2.3619411877007224e-05,1.5627610991941765e-05,0.0,0.0,2.3663975298404694e-05,1.5632633221684955e-05,2.0255371055100113e-05,9.859904821496457e-06,2.3574868464493193e-05,1.562907527841162e-05
9,0.0,0.0,1.3137541827745736e-05,4.836773314309539e-06,0.0,0.0,1.3151274288247805e-05,4.881292170466622e-06,1.7999078409047797e-05,1.8586575606605038e-05,1.3157137800590135e-05,4.884237569058314e-06
10,0.0,0.0,1.1442477443779353e-05,2.8375268357194727e-06,0.0,0.0,1.1614038157858886e-05,2.81240181720932e-06,1.1846915185742546e-05,3.499731064948719e-06,1.160949523182353e-05,2.865472652047174e-06
11,0.0,0.0,9.25848689803388e-06,2.5724596071086125e-06,0.0,0.0,9.388551916345023e-06,2.555323362685158e-06,8.891102879715618e-06,2.364037527513574e-06,9.397563189850189e-06,2.4995222247525817e-06
12,0.0,0.0,7.808068403392099e-06,3.2731252304074587e-06,0.0,0.0,8.121843166009057e-06,3.613103444877197e-06,8.870370038494002e-06,4.512834948400268e-06,8.065042493399233e-06,3.5147500057064462e-06
13,0.0,0.0,8.37640072859358e-06,3.4299996514164377e-06,0.0,0.0,8.508376595273148e-06,3.6069436646357644e-06,8.357228580280207e-06,3.076603888985119e-06,8.42896679387195e-06,3.6996600556449266e-06
14,0.0,0.0,9.935356501955539e-06,7.843974344723392e-06,0.0,0.0,9.176754247164354e-06,7.631561857124325e-06,9.01135899766814e-06,5.163459263712866e-06,9.635017704567872e-06,7.539195848949021e-06
15,0.0,0.0,7.461255336238537e-06,3.507764404275804e-06,0.0,0.0,7.33773913452751e-06,3.4520494409662206e-06,7.142304639273789e-06,3.0286944365798263e-06,7.221469331852859e-06,3.285756292825681e-06
16,0.0,0.0,7.017885764071252e-06,2.947198709080112e-06,0.0,0.0,7.30380497770966e-06,3.2279169772664318e-06,6.5508365878486075e-06,2.4732130441407207e-06,6.2740846260567196e-06,2.150383807020262e-06
17,0.0,0.0,5.482438155013369e-06,2.0150687305431347e-06,0.0,0.0,6.043954272172414e-06,2.8933820885868045e-06,5.895102276554098e-06,2.0917559595545754e-06,5.871298526471946e-06,2.5106212433456676e-06
18,0.0,0.0,4.05161654271069e-06,1.2182509863123414e-06,0.0,0.0,4.01253691961756e-06,1.1976858331763651e-06,4.714658643933944e-06,1.6870677654878818e-06,4.283346697775414e-06,1.1614062032094807e-06
19,0.0,0.0,4.280295797798317e-06,1.4866806168356561e-06,0.0,0.0,4.574830199999269e-06,1.8551259017840493e-06,4.807877303392161e-06,1.3412635553322616e-06,4.480771167436615e-06,1.8214075225841952e-06
20,0.0,0.0,3.4250247153977398e-06,1.1304765621389379e-06,0.0,0.0,3.340584498801036e-06,1.1159111181768822e-06,3.867943632940296e-06,1.0976660860251286e-06,3.436082351981895e-06,1.2386078651616117e-06
21,0.0,0.0,3.598986495489953e-06,1.8510013433115091e-06,0.0,0.0,3.650871803984046e-06,1.9089598026766907e-06,4.058885224367259e-06,1.674864051892655e-06,3.841504621959757e-06,1.9849426280416083e-06
22,0.0,0.0,3.0682774649903877e-06,1.1351211242072168e-06,0.0,0.0,3.2773655220807996e-06,1.4800880308030173e-06,3.1927324926073197e-06,9.410288726030558e-07,3.590806272768532e-06,1.983141373784747e-06
23,0.0,0.0,2.6185311980952974e-06,1.0932461691481876e-06,0.0,0.0,2.8387280508468393e-06,1.1810825526481494e-06,2.7983749077975517e-06,9.718161209093523e-07,3.208243924746057e-06,2.2023314159014262e-06
